Pemain;Klub;Posisi
I Made Wardana;Persegi Gianyar;Penjaga Gawang
Feriansyah Mas'ud;Pelita Jaya U-21;Penyerang
Feriansyah Mas'ud;Pelita Jaya Jawa Barat;Penyerang
Ruben Karel Sanadi;Persikota Tangerang;Pemain bertahan
Ruben Karel Sanadi;Persipasi Bekasi;Pemain bertahan
Ruben Karel Sanadi;PSMS Medan;Pemain bertahan
Ruben Karel Sanadi;Pelita Jaya;Pemain bertahan
Gilang Ginarsa;Pelita Jaya U-21;Pemain bertahan
Gilang Ginarsa;PPSM Magelang;Pemain bertahan
Gilang Ginarsa;Pelita Jaya;Pemain bertahan
Ipan Priyanto;PSIS Semarang;Pemain bertahan
Ipan Priyanto;Pelita Jaya;Pemain bertahan
Riyandi Ramadhana;Pelita Jaya U-21;Gelandang
Riyandi Ramadhana;Pelita Jaya;Gelandang
Firdaus Ramadhan;Persikota Tangerang;Bek
Firdaus Ramadhan;Persitara Jakarta Utara;Bek
Firdaus Ramadhan;Persita Tangerang;Bek
Firdaus Ramadhan;Pelita Jaya;Bek
Firdaus Ramadhan;Deltras Sidoarjo;Bek
Tri Rahmad Priadi;Pelita Jaya U-21;Pemain bertahan
Tri Rahmad Priadi;Pelita Jaya;Pemain bertahan
Lukas Mandowen;Persipura Jayapura;Penyerang
Yustinus Pae;Persipura Jayapura;Gelandang
Nurmufid Fastabiqul Khoirot;Persebaya 1927;Pemain bertahan
Danan Puspito;Persija Jakarta;Gelandang
Danan Puspito;Persijap Jepara;Gelandang
Anindito Wahyu Erminarno;Persija Jakarta;Penyerang
Anindito Wahyu Erminarno;Persis Solo;Penyerang
Anindito Wahyu Erminarno;Mitra Kukar;Penyerang
Joice Sorongan;Persidafon Dafonsoro;Kiper
Joice Sorongan;Persikab Bandung;Kiper
Joice Sorongan;Persma Manado;Kiper
Joice Sorongan;PSMS Medan;Kiper
Joice Sorongan;PSS Sleman;Kiper
Joice Sorongan;Persita Tangerang;Kiper
Joice Sorongan;Mitra Kukar;Kiper
Elvis Nelson Anes;Persija Jakarta;Bek
